date,day_index,internal_model_id,external_model_id,model_name
2025-01-01,0,0,"(1,1)",工作日-高负荷期
2025-01-02,1,0,"(1,1)",工作日-高负荷期
2025-01-03,2,0,"(1,1)",工作日-高负荷期
2025-01-04,3,2,"(2,1)",休息日-高负荷期
2025-01-05,4,2,"(2,1)",休息日-高负荷期
2025-01-06,5,2,"(2,1)",休息日-高负荷期
2025-01-07,6,0,"(1,1)",工作日-高负荷期
2025-01-08,7,0,"(1,1)",工作日-高负荷期
2025-01-09,8,0,"(1,1)",工作日-高负荷期
2025-01-10,9,2,"(2,1)",休息日-高负荷期
2025-01-11,10,2,"(2,1)",休息日-高负荷期
2025-01-12,11,2,"(2,1)",休息日-高负荷期
2025-01-13,12,0,"(1,1)",工作日-高负荷期
2025-01-14,13,0,"(1,1)",工作日-高负荷期
2025-01-15,14,2,"(2,1)",休息日-高负荷期
2025-01-16,15,0,"(1,1)",工作日-高负荷期
2025-01-17,16,0,"(1,1)",工作日-高负荷期
2025-01-18,17,2,"(2,1)",休息日-高负荷期
2025-01-19,18,2,"(2,1)",休息日-高负荷期
2025-01-20,19,1,"(1,2)",工作日-低负荷期
2025-01-21,20,1,"(1,2)",工作日-低负荷期
2025-01-22,21,1,"(1,2)",工作日-低负荷期
2025-01-23,22,1,"(1,2)",工作日-低负荷期
2025-01-24,23,1,"(1,2)",工作日-低负荷期
2025-01-25,24,3,"(2,2)",休息日-低负荷期
2025-01-26,25,3,"(2,2)",休息日-低负荷期
2025-01-27,26,1,"(1,2)",工作日-低负荷期
2025-01-28,27,3,"(2,2)",休息日-低负荷期
2025-01-29,28,1,"(1,2)",工作日-低负荷期
2025-01-30,29,3,"(2,2)",休息日-低负荷期
2025-01-31,30,1,"(1,2)",工作日-低负荷期
2025-02-01,31,3,"(2,2)",休息日-低负荷期
2025-02-02,32,1,"(1,2)",工作日-低负荷期
2025-02-03,33,1,"(1,2)",工作日-低负荷期
2025-02-04,34,1,"(1,2)",工作日-低负荷期
2025-02-05,35,3,"(2,2)",休息日-低负荷期
2025-02-06,36,3,"(2,2)",休息日-低负荷期
2025-02-07,37,3,"(2,2)",休息日-低负荷期
2025-02-08,38,3,"(2,2)",休息日-低负荷期
2025-02-09,39,3,"(2,2)",休息日-低负荷期
2025-02-10,40,0,"(1,1)",工作日-高负荷期
2025-02-11,41,0,"(1,1)",工作日-高负荷期
2025-02-12,42,0,"(1,1)",工作日-高负荷期
2025-02-13,43,0,"(1,1)",工作日-高负荷期
2025-02-14,44,0,"(1,1)",工作日-高负荷期
2025-02-15,45,2,"(2,1)",休息日-高负荷期
2025-02-16,46,2,"(2,1)",休息日-高负荷期
2025-02-17,47,4,"(3,1)",同类日-高负荷期
2025-02-18,48,4,"(3,1)",同类日-高负荷期
2025-02-19,49,4,"(3,1)",同类日-高负荷期
2025-02-20,50,4,"(3,1)",同类日-高负荷期
2025-02-21,51,4,"(3,1)",同类日-高负荷期
2025-02-22,52,4,"(3,1)",同类日-高负荷期
2025-02-23,53,4,"(3,1)",同类日-高负荷期
2025-02-24,54,1,"(1,2)",工作日-低负荷期
2025-02-25,55,1,"(1,2)",工作日-低负荷期
2025-02-26,56,1,"(1,2)",工作日-低负荷期
2025-02-27,57,1,"(1,2)",工作日-低负荷期
2025-02-28,58,1,"(1,2)",工作日-低负荷期
2025-03-01,59,3,"(2,2)",休息日-低负荷期
2025-03-02,60,3,"(2,2)",休息日-低负荷期
2025-03-03,61,0,"(1,1)",工作日-高负荷期
2025-03-04,62,0,"(1,1)",工作日-高负荷期
2025-03-05,63,0,"(1,1)",工作日-高负荷期
2025-03-06,64,0,"(1,1)",工作日-高负荷期
2025-03-07,65,0,"(1,1)",工作日-高负荷期
2025-03-08,66,2,"(2,1)",休息日-高负荷期
2025-03-09,67,2,"(2,1)",休息日-高负荷期
2025-03-10,68,2,"(2,1)",休息日-高负荷期
2025-03-11,69,2,"(2,1)",休息日-高负荷期
2025-03-12,70,0,"(1,1)",工作日-高负荷期
2025-03-13,71,0,"(1,1)",工作日-高负荷期
2025-03-14,72,0,"(1,1)",工作日-高负荷期
2025-03-15,73,0,"(1,1)",工作日-高负荷期
2025-03-16,74,2,"(2,1)",休息日-高负荷期
2025-03-17,75,5,"(3,2)",同类日-低负荷期
2025-03-18,76,5,"(3,2)",同类日-低负荷期
2025-03-19,77,5,"(3,2)",同类日-低负荷期
2025-03-20,78,5,"(3,2)",同类日-低负荷期
2025-03-21,79,5,"(3,2)",同类日-低负荷期
2025-03-22,80,5,"(3,2)",同类日-低负荷期
2025-03-23,81,5,"(3,2)",同类日-低负荷期
2025-03-24,82,5,"(3,2)",同类日-低负荷期
2025-03-25,83,5,"(3,2)",同类日-低负荷期
2025-03-26,84,5,"(3,2)",同类日-低负荷期
2025-03-27,85,5,"(3,2)",同类日-低负荷期
2025-03-28,86,5,"(3,2)",同类日-低负荷期
2025-03-29,87,5,"(3,2)",同类日-低负荷期
2025-03-30,88,5,"(3,2)",同类日-低负荷期
2025-03-31,89,1,"(1,2)",工作日-低负荷期
2025-04-01,90,1,"(1,2)",工作日-低负荷期
2025-04-02,91,1,"(1,2)",工作日-低负荷期
2025-04-03,92,3,"(2,2)",休息日-低负荷期
2025-04-04,93,3,"(2,2)",休息日-低负荷期
2025-04-05,94,3,"(2,2)",休息日-低负荷期
2025-04-06,95,3,"(2,2)",休息日-低负荷期
2025-04-07,96,5,"(3,2)",同类日-低负荷期
2025-04-08,97,5,"(3,2)",同类日-低负荷期
2025-04-09,98,5,"(3,2)",同类日-低负荷期
2025-04-10,99,5,"(3,2)",同类日-低负荷期
2025-04-11,100,5,"(3,2)",同类日-低负荷期
