date,day_index,internal_model_id,external_model_id,model_name
2025-01-01,0,6,"(3,3)",同类日-低负荷期
2025-01-02,1,6,"(3,3)",同类日-低负荷期
2025-01-03,2,6,"(3,3)",同类日-低负荷期
2025-01-04,3,6,"(3,3)",同类日-低负荷期
2025-01-05,4,6,"(3,3)",同类日-低负荷期
2025-01-06,5,6,"(3,3)",同类日-低负荷期
2025-01-07,6,6,"(3,3)",同类日-低负荷期
2025-01-08,7,6,"(3,3)",同类日-低负荷期
2025-01-09,8,6,"(3,3)",同类日-低负荷期
2025-01-10,9,6,"(3,3)",同类日-低负荷期
2025-01-11,10,6,"(3,3)",同类日-低负荷期
2025-01-12,11,6,"(3,3)",同类日-低负荷期
2025-01-13,12,4,"(3,1)",同类日-高负荷期
2025-01-14,13,4,"(3,1)",同类日-高负荷期
2025-01-15,14,4,"(3,1)",同类日-高负荷期
2025-01-16,15,4,"(3,1)",同类日-高负荷期
2025-01-17,16,4,"(3,1)",同类日-高负荷期
2025-01-18,17,4,"(3,1)",同类日-高负荷期
2025-01-19,18,4,"(3,1)",同类日-高负荷期
2025-01-20,19,1,"(1,2)",工作日-中间负荷期1
2025-01-21,20,3,"(2,2)",休息日-中间负荷期1
2025-01-22,21,1,"(1,2)",工作日-中间负荷期1
2025-01-23,22,3,"(2,2)",休息日-中间负荷期1
2025-01-24,23,3,"(2,2)",休息日-中间负荷期1
2025-01-25,24,3,"(2,2)",休息日-中间负荷期1
2025-01-26,25,3,"(2,2)",休息日-中间负荷期1
2025-01-27,26,3,"(2,2)",休息日-中间负荷期1
2025-01-28,27,1,"(1,2)",工作日-中间负荷期1
2025-01-29,28,1,"(1,2)",工作日-中间负荷期1
2025-01-30,29,1,"(1,2)",工作日-中间负荷期1
2025-01-31,30,1,"(1,2)",工作日-中间负荷期1
2025-02-01,31,1,"(1,2)",工作日-中间负荷期1
2025-02-02,32,3,"(2,2)",休息日-中间负荷期1
2025-02-03,33,1,"(1,2)",工作日-中间负荷期1
2025-02-04,34,1,"(1,2)",工作日-中间负荷期1
2025-02-05,35,1,"(1,2)",工作日-中间负荷期1
2025-02-06,36,1,"(1,2)",工作日-中间负荷期1
2025-02-07,37,3,"(2,2)",休息日-中间负荷期1
2025-02-08,38,3,"(2,2)",休息日-中间负荷期1
2025-02-09,39,3,"(2,2)",休息日-中间负荷期1
2025-02-10,40,5,"(3,2)",同类日-中间负荷期1
2025-02-11,41,5,"(3,2)",同类日-中间负荷期1
2025-02-12,42,5,"(3,2)",同类日-中间负荷期1
2025-02-13,43,5,"(3,2)",同类日-中间负荷期1
2025-02-14,44,5,"(3,2)",同类日-中间负荷期1
2025-02-15,45,5,"(3,2)",同类日-中间负荷期1
2025-02-16,46,5,"(3,2)",同类日-中间负荷期1
2025-02-17,47,2,"(2,1)",休息日-高负荷期
2025-02-18,48,0,"(1,1)",工作日-高负荷期
2025-02-19,49,0,"(1,1)",工作日-高负荷期
2025-02-20,50,0,"(1,1)",工作日-高负荷期
2025-02-21,51,0,"(1,1)",工作日-高负荷期
2025-02-22,52,0,"(1,1)",工作日-高负荷期
2025-02-23,53,2,"(2,1)",休息日-高负荷期
2025-02-24,54,3,"(2,2)",休息日-中间负荷期1
2025-02-25,55,1,"(1,2)",工作日-中间负荷期1
2025-02-26,56,3,"(2,2)",休息日-中间负荷期1
2025-02-27,57,1,"(1,2)",工作日-中间负荷期1
2025-02-28,58,1,"(1,2)",工作日-中间负荷期1
2025-03-01,59,3,"(2,2)",休息日-中间负荷期1
2025-03-02,60,1,"(1,2)",工作日-中间负荷期1
2025-03-03,61,1,"(1,2)",工作日-中间负荷期1
2025-03-04,62,1,"(1,2)",工作日-中间负荷期1
2025-03-05,63,1,"(1,2)",工作日-中间负荷期1
2025-03-06,64,3,"(2,2)",休息日-中间负荷期1
2025-03-07,65,1,"(1,2)",工作日-中间负荷期1
2025-03-08,66,3,"(2,2)",休息日-中间负荷期1
2025-03-09,67,3,"(2,2)",休息日-中间负荷期1
2025-03-10,68,3,"(2,2)",休息日-中间负荷期1
2025-03-11,69,1,"(1,2)",工作日-中间负荷期1
2025-03-12,70,1,"(1,2)",工作日-中间负荷期1
2025-03-13,71,1,"(1,2)",工作日-中间负荷期1
2025-03-14,72,1,"(1,2)",工作日-中间负荷期1
2025-03-15,73,1,"(1,2)",工作日-中间负荷期1
2025-03-16,74,3,"(2,2)",休息日-中间负荷期1
2025-03-17,75,4,"(3,1)",同类日-高负荷期
2025-03-18,76,4,"(3,1)",同类日-高负荷期
2025-03-19,77,4,"(3,1)",同类日-高负荷期
2025-03-20,78,4,"(3,1)",同类日-高负荷期
2025-03-21,79,4,"(3,1)",同类日-高负荷期
2025-03-22,80,4,"(3,1)",同类日-高负荷期
2025-03-23,81,4,"(3,1)",同类日-高负荷期
2025-03-24,82,1,"(1,2)",工作日-中间负荷期1
2025-03-25,83,3,"(2,2)",休息日-中间负荷期1
2025-03-26,84,1,"(1,2)",工作日-中间负荷期1
2025-03-27,85,3,"(2,2)",休息日-中间负荷期1
2025-03-28,86,1,"(1,2)",工作日-中间负荷期1
2025-03-29,87,3,"(2,2)",休息日-中间负荷期1
2025-03-30,88,3,"(2,2)",休息日-中间负荷期1
2025-03-31,89,1,"(1,2)",工作日-中间负荷期1
2025-04-01,90,3,"(2,2)",休息日-中间负荷期1
2025-04-02,91,1,"(1,2)",工作日-中间负荷期1
2025-04-03,92,1,"(1,2)",工作日-中间负荷期1
2025-04-04,93,1,"(1,2)",工作日-中间负荷期1
2025-04-05,94,3,"(2,2)",休息日-中间负荷期1
2025-04-06,95,1,"(1,2)",工作日-中间负荷期1
2025-04-07,96,3,"(2,2)",休息日-中间负荷期1
2025-04-08,97,3,"(2,2)",休息日-中间负荷期1
2025-04-09,98,1,"(1,2)",工作日-中间负荷期1
2025-04-10,99,1,"(1,2)",工作日-中间负荷期1
2025-04-11,100,1,"(1,2)",工作日-中间负荷期1
2025-04-12,101,3,"(2,2)",休息日-中间负荷期1
2025-04-13,102,1,"(1,2)",工作日-中间负荷期1
2025-04-14,103,3,"(2,2)",休息日-中间负荷期1
2025-04-15,104,1,"(1,2)",工作日-中间负荷期1
2025-04-16,105,1,"(1,2)",工作日-中间负荷期1
2025-04-17,106,3,"(2,2)",休息日-中间负荷期1
2025-04-18,107,1,"(1,2)",工作日-中间负荷期1
2025-04-19,108,3,"(2,2)",休息日-中间负荷期1
2025-04-20,109,1,"(1,2)",工作日-中间负荷期1
2025-04-21,110,5,"(3,2)",同类日-中间负荷期1
2025-04-22,111,5,"(3,2)",同类日-中间负荷期1
2025-04-23,112,5,"(3,2)",同类日-中间负荷期1
2025-04-24,113,5,"(3,2)",同类日-中间负荷期1
2025-04-25,114,5,"(3,2)",同类日-中间负荷期1
2025-04-26,115,5,"(3,2)",同类日-中间负荷期1
2025-04-27,116,5,"(3,2)",同类日-中间负荷期1
2025-04-28,117,1,"(1,2)",工作日-中间负荷期1
2025-04-29,118,1,"(1,2)",工作日-中间负荷期1
2025-04-30,119,1,"(1,2)",工作日-中间负荷期1
2025-05-01,120,3,"(2,2)",休息日-中间负荷期1
2025-05-02,121,1,"(1,2)",工作日-中间负荷期1
2025-05-03,122,1,"(1,2)",工作日-中间负荷期1
2025-05-04,123,3,"(2,2)",休息日-中间负荷期1
2025-05-05,124,5,"(3,2)",同类日-中间负荷期1
2025-05-06,125,5,"(3,2)",同类日-中间负荷期1
2025-05-07,126,5,"(3,2)",同类日-中间负荷期1
2025-05-08,127,5,"(3,2)",同类日-中间负荷期1
2025-05-09,128,5,"(3,2)",同类日-中间负荷期1
2025-05-10,129,5,"(3,2)",同类日-中间负荷期1
