date,day_index,internal_model_id,external_model_id,model_name
2025-01-01,0,2,R03,过渡季工作日型夜间偏高型
2025-01-02,1,1,R02,全年工作日型夜间偏高型
2025-01-03,2,1,R02,全年工作日型夜间偏高型
2025-01-04,3,1,R02,全年工作日型夜间偏高型
2025-01-05,4,1,R02,全年工作日型夜间偏高型
2025-01-06,5,1,R02,全年工作日型夜间偏高型
2025-01-07,6,1,R02,全年工作日型夜间偏高型
2025-01-08,7,1,R02,全年工作日型夜间偏高型
2025-01-09,8,1,R02,全年工作日型夜间偏高型
2025-01-10,9,1,R02,全年工作日型夜间偏高型
2025-01-11,10,1,R02,全年工作日型夜间偏高型
2025-01-12,11,1,R02,全年工作日型夜间偏高型
2025-01-13,12,1,R02,全年工作日型夜间偏高型
2025-01-14,13,2,R03,过渡季工作日型夜间偏高型
2025-01-15,14,1,R02,全年工作日型夜间偏高型
2025-01-16,15,1,R02,全年工作日型夜间偏高型
2025-01-17,16,1,R02,全年工作日型夜间偏高型
2025-01-18,17,1,R02,全年工作日型夜间偏高型
2025-01-19,18,1,R02,全年工作日型夜间偏高型
2025-01-20,19,1,R02,全年工作日型夜间偏高型
2025-01-21,20,2,R03,过渡季工作日型夜间偏高型
2025-01-22,21,1,R02,全年工作日型夜间偏高型
2025-01-23,22,1,R02,全年工作日型夜间偏高型
2025-01-24,23,1,R02,全年工作日型夜间偏高型
2025-01-25,24,1,R02,全年工作日型夜间偏高型
2025-01-26,25,0,R01,夏季混合日型夜间偏高型
2025-01-27,26,1,R02,全年工作日型夜间偏高型
2025-01-28,27,1,R02,全年工作日型夜间偏高型
2025-01-29,28,1,R02,全年工作日型夜间偏高型
2025-01-30,29,1,R02,全年工作日型夜间偏高型
2025-01-31,30,0,R01,夏季混合日型夜间偏高型
2025-02-01,31,0,R01,夏季混合日型夜间偏高型
2025-02-02,32,0,R01,夏季混合日型夜间偏高型
2025-02-03,33,1,R02,全年工作日型夜间偏高型
2025-02-04,34,1,R02,全年工作日型夜间偏高型
2025-02-05,35,1,R02,全年工作日型夜间偏高型
2025-02-06,36,1,R02,全年工作日型夜间偏高型
2025-02-07,37,1,R02,全年工作日型夜间偏高型
2025-02-08,38,1,R02,全年工作日型夜间偏高型
2025-02-09,39,1,R02,全年工作日型夜间偏高型
2025-02-10,40,1,R02,全年工作日型夜间偏高型
2025-02-11,41,1,R02,全年工作日型夜间偏高型
2025-02-12,42,0,R01,夏季混合日型夜间偏高型
2025-02-13,43,1,R02,全年工作日型夜间偏高型
2025-02-14,44,1,R02,全年工作日型夜间偏高型
2025-02-15,45,1,R02,全年工作日型夜间偏高型
2025-02-16,46,1,R02,全年工作日型夜间偏高型
2025-02-17,47,1,R02,全年工作日型夜间偏高型
2025-02-18,48,1,R02,全年工作日型夜间偏高型
2025-02-19,49,2,R03,过渡季工作日型夜间偏高型
2025-02-20,50,1,R02,全年工作日型夜间偏高型
2025-02-21,51,1,R02,全年工作日型夜间偏高型
2025-02-22,52,1,R02,全年工作日型夜间偏高型
2025-02-23,53,1,R02,全年工作日型夜间偏高型
2025-02-24,54,1,R02,全年工作日型夜间偏高型
2025-02-25,55,2,R03,过渡季工作日型夜间偏高型
2025-02-26,56,2,R03,过渡季工作日型夜间偏高型
2025-02-27,57,2,R03,过渡季工作日型夜间偏高型
2025-02-28,58,1,R02,全年工作日型夜间偏高型
2025-03-01,59,2,R03,过渡季工作日型夜间偏高型
2025-03-02,60,1,R02,全年工作日型夜间偏高型
2025-03-03,61,1,R02,全年工作日型夜间偏高型
2025-03-04,62,1,R02,全年工作日型夜间偏高型
2025-03-05,63,1,R02,全年工作日型夜间偏高型
2025-03-06,64,1,R02,全年工作日型夜间偏高型
2025-03-07,65,1,R02,全年工作日型夜间偏高型
2025-03-08,66,2,R03,过渡季工作日型夜间偏高型
2025-03-09,67,2,R03,过渡季工作日型夜间偏高型
2025-03-10,68,2,R03,过渡季工作日型夜间偏高型
2025-03-11,69,1,R02,全年工作日型夜间偏高型
2025-03-12,70,1,R02,全年工作日型夜间偏高型
2025-03-13,71,1,R02,全年工作日型夜间偏高型
2025-03-14,72,1,R02,全年工作日型夜间偏高型
2025-03-15,73,1,R02,全年工作日型夜间偏高型
2025-03-16,74,1,R02,全年工作日型夜间偏高型
2025-03-17,75,2,R03,过渡季工作日型夜间偏高型
2025-03-18,76,1,R02,全年工作日型夜间偏高型
2025-03-19,77,2,R03,过渡季工作日型夜间偏高型
2025-03-20,78,2,R03,过渡季工作日型夜间偏高型
2025-03-21,79,1,R02,全年工作日型夜间偏高型
2025-03-22,80,2,R03,过渡季工作日型夜间偏高型
2025-03-23,81,1,R02,全年工作日型夜间偏高型
2025-03-24,82,1,R02,全年工作日型夜间偏高型
2025-03-25,83,1,R02,全年工作日型夜间偏高型
2025-03-26,84,2,R03,过渡季工作日型夜间偏高型
2025-03-27,85,2,R03,过渡季工作日型夜间偏高型
2025-03-28,86,1,R02,全年工作日型夜间偏高型
2025-03-29,87,1,R02,全年工作日型夜间偏高型
2025-03-30,88,1,R02,全年工作日型夜间偏高型
2025-03-31,89,2,R03,过渡季工作日型夜间偏高型
2025-04-01,90,1,R02,全年工作日型夜间偏高型
2025-04-02,91,1,R02,全年工作日型夜间偏高型
2025-04-03,92,1,R02,全年工作日型夜间偏高型
2025-04-04,93,1,R02,全年工作日型夜间偏高型
2025-04-05,94,2,R03,过渡季工作日型夜间偏高型
2025-04-06,95,1,R02,全年工作日型夜间偏高型
2025-04-07,96,1,R02,全年工作日型夜间偏高型
2025-04-08,97,1,R02,全年工作日型夜间偏高型
2025-04-09,98,1,R02,全年工作日型夜间偏高型
2025-04-10,99,1,R02,全年工作日型夜间偏高型
2025-04-11,100,1,R02,全年工作日型夜间偏高型
2025-04-12,101,2,R03,过渡季工作日型夜间偏高型
2025-04-13,102,0,R01,夏季混合日型夜间偏高型
2025-04-14,103,1,R02,全年工作日型夜间偏高型
2025-04-15,104,2,R03,过渡季工作日型夜间偏高型
2025-04-16,105,1,R02,全年工作日型夜间偏高型
2025-04-17,106,1,R02,全年工作日型夜间偏高型
2025-04-18,107,1,R02,全年工作日型夜间偏高型
2025-04-19,108,0,R01,夏季混合日型夜间偏高型
2025-04-20,109,1,R02,全年工作日型夜间偏高型
2025-04-21,110,1,R02,全年工作日型夜间偏高型
2025-04-22,111,1,R02,全年工作日型夜间偏高型
2025-04-23,112,2,R03,过渡季工作日型夜间偏高型
2025-04-24,113,0,R01,夏季混合日型夜间偏高型
2025-04-25,114,1,R02,全年工作日型夜间偏高型
2025-04-26,115,0,R01,夏季混合日型夜间偏高型
2025-04-27,116,0,R01,夏季混合日型夜间偏高型
2025-04-28,117,1,R02,全年工作日型夜间偏高型
2025-04-29,118,1,R02,全年工作日型夜间偏高型
2025-04-30,119,1,R02,全年工作日型夜间偏高型
2025-05-01,120,2,R03,过渡季工作日型夜间偏高型
2025-05-02,121,2,R03,过渡季工作日型夜间偏高型
2025-05-03,122,2,R03,过渡季工作日型夜间偏高型
2025-05-04,123,2,R03,过渡季工作日型夜间偏高型
2025-05-05,124,2,R03,过渡季工作日型夜间偏高型
2025-05-06,125,2,R03,过渡季工作日型夜间偏高型
2025-05-07,126,2,R03,过渡季工作日型夜间偏高型
2025-05-08,127,2,R03,过渡季工作日型夜间偏高型
2025-05-09,128,1,R02,全年工作日型夜间偏高型
2025-05-10,129,0,R01,夏季混合日型夜间偏高型
2025-05-11,130,0,R01,夏季混合日型夜间偏高型
2025-05-12,131,0,R01,夏季混合日型夜间偏高型
2025-05-13,132,1,R02,全年工作日型夜间偏高型
2025-05-14,133,1,R02,全年工作日型夜间偏高型
2025-05-15,134,2,R03,过渡季工作日型夜间偏高型
2025-05-16,135,1,R02,全年工作日型夜间偏高型
2025-05-17,136,0,R01,夏季混合日型夜间偏高型
2025-05-18,137,1,R02,全年工作日型夜间偏高型
2025-05-19,138,0,R01,夏季混合日型夜间偏高型
2025-05-20,139,0,R01,夏季混合日型夜间偏高型
2025-05-21,140,1,R02,全年工作日型夜间偏高型
2025-05-22,141,0,R01,夏季混合日型夜间偏高型
2025-05-23,142,2,R03,过渡季工作日型夜间偏高型
2025-05-24,143,0,R01,夏季混合日型夜间偏高型
2025-05-25,144,0,R01,夏季混合日型夜间偏高型
2025-05-26,145,2,R03,过渡季工作日型夜间偏高型
2025-05-27,146,2,R03,过渡季工作日型夜间偏高型
2025-05-28,147,1,R02,全年工作日型夜间偏高型
2025-05-29,148,1,R02,全年工作日型夜间偏高型
2025-05-30,149,1,R02,全年工作日型夜间偏高型
2025-05-31,150,2,R03,过渡季工作日型夜间偏高型
2025-06-01,151,2,R03,过渡季工作日型夜间偏高型
2025-06-02,152,1,R02,全年工作日型夜间偏高型
