strategy_id,rated_power_kw,rated_energy_kwh,duration_h,is_valid,feasible,used_fast_reject,obj_npv,obj_payback,obj_investment,obj_safety,duration_violation_h,cycle_violation,transformer_violation_hours,transformer_slack_kw,negative_cashflow_violation,payback_violation_years,max_violation,total_violation,screening_messages,notes,npv_yuan,irr,simple_payback_years,discounted_payback_years,initial_investment_yuan,annualized_net_cashflow_yuan,lc_net_profit_yuan,annual_net_operating_cashflow_yuan,annual_equivalent_full_cycles,annual_battery_throughput_kwh,transformer_violation_hours_runtime,max_transformer_slack_kw_runtime
比亚迪储能_IC07-B233AP125-A-R2,2500.0,5825.0,2.33,True,True,False,-8970693.595699599,4.4955689687279845,5785250.0,359.6305192318296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",8970693.595699599,0.21775861693987397,4.4955689687279845,5.403700243724739,5785250.0,1290303.185612197,20020813.71224394,1350868.8590797954,359.6305192318296,4189695.549050815,0.0,0.0
阳光电源_ST255CS-2H,2500.0,6425.000000000001,2.5700000000000003,True,True,False,-9829482.564044185,4.4578761514971355,6248550.000000001,347.71041341880823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9829482.564044185,0.2197748195375075,4.4578761514971355,5.350051186103166,6248550.000000001,1406047.1980409806,21872393.960819613,1466807.4177278178,347.71041341880823,4468078.812431687,0.0,0.0
阳光电源_ST510CS-4H-CN,2126.0324396494443,8504.129758597777,4.0,True,True,False,-11671654.767801095,4.688554753460168,8044906.751633498,309.808655734127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",11671654.767801095,0.20827149468040684,4.688554753460168,5.677108557062269,8044906.751633498,1725479.1008369369,26464675.265105236,1777464.1860871287,309.808655734127,5269306.017399527,0.0,0.0
阳光电源_ST255CS-2H,2428.2325944277836,6240.557767679405,2.5700000000000003,True,True,False,-8596110.008537931,4.747791777289887,6069173.111164691,343.0257023895553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",8596110.008537931,0.205288506462816,4.747791777289887,5.761836088655672,6069173.111164691,1282764.6344880867,19586119.578597046,1341496.4773618625,343.0257023895553,4281343.423121646,0.0,0.0
阳光电源_ST255CS-2H,2473.731343390491,6357.489552513563,2.5700000000000003,True,True,False,-8746916.490784774,4.751262641411958,6182893.594297061,334.83287300879124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",8746916.490784774,0.2051289424528523,4.751262641411958,5.766750664873425,6182893.594297061,1305924.3965514703,19935594.336732343,1365250.5016181371,334.83287300879124,4257392.983982981,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,10000.0,4.0,True,True,False,-14033546.708256118,4.626617419275516,9460000.0,313.78194232600896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14033546.708256118,0.21129403847230754,4.626617419275516,5.589169762987056,9460000.0,2055902.7808262445,31658055.61652489,2117418.1664294805,313.78194232600896,6275638.846520179,0.0,0.0
阳光电源_ST510CS-4H-CN,2431.352686835533,9725.410747342132,4.0,True,True,False,-13346279.513955316,4.689022810470747,9200238.566985657,303.8727815605545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13346279.513955316,0.20825188684934937,4.689022810470747,5.677762094462565,9200238.566985657,1973161.8339512222,30262998.112038784,2032051.4517665217,303.8727815605545,5910575.231227529,0.0,0.0
阳光电源_ST510CS-4H-CN,2500.0,11632.24183224787,4.652896732899148,True,True,False,-14373831.277138293,4.939674721524278,10826186.413591467,292.0474933137382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",14373831.277138293,0.19676708542986426,4.939674721524278,6.035539759064961,10826186.413591467,2206145.5801194,33296725.188796528,2266766.0859480137,292.0474933137382,6794334.1374543905,0.0,0.0
比亚迪储能_IC07-B233AP125-A-R2,2490.9314951578463,5803.870383717782,2.33,True,True,False,-8423223.381355025,4.659095230365759,5764264.572944772,358.0864390228054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",8423223.381355025,0.20950721603950992,4.659095230365759,5.635984958733442,5764264.572944772,1240732.0370287898,19050376.167631023,1300990.91672915,358.0864390228054,4156574.5565108475,0.0,0.0
阳光电源_ST255CS-2H,2454.9256941028057,5837.91933975928,2.378043194457194,True,True,False,-9245169.887467232,4.399766595530917,5756071.18492198,360.4696247684537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9245169.887467232,0.22285974662205071,4.399766595530917,5.267609768636482,5756071.18492198,1311689.2170689588,20477713.156457197,1371434.934805058,360.4696247684537,4208785.187663053,0.0,0.0
阳光电源_ST255CS-2H,2474.1639333615476,6358.601308739178,2.5700000000000003,True,True,False,-8903591.868419852,4.701999593366782,6183974.81832252,347.04792001145313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",8903591.868419852,0.20746565827437274,4.701999593366782,5.696797499119206,6183974.81832252,1319651.0444942003,20209046.071561486,1379742.4007733758,347.04792001145313,4413478.716760071,0.0,0.0
阳光电源_ST510CS-4H-CN,2443.338541269108,10541.815180601927,4.314512705687663,True,True,False,-15726782.02938478,4.435602981904886,9888794.910157144,324.085596549211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15726782.02938478,0.2211220116100891,4.435602981904886,5.317920514235675,9888794.910157144,2241345.6410603696,34938117.911050245,2303257.9879632876,324.085596549211,6832900.923033808,0.0,0.0
阳光电源_ST510CS-4H-CN,2160.931528424665,8940.912164697935,4.137526824469041,True,True,False,-11277170.28738376,4.915481596433348,8425709.628245326,295.3985387414801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",11277170.28738376,0.19780443504318435,4.915481596433348,5.999273393253473,8425709.628245326,1724689.9996735677,26068090.36522603,1776549.210945801,295.3985387414801,5282264.7769353865,0.0,0.0
