year,revenue_yuan,om_cost_yuan,replacement_cost_yuan,salvage_value_yuan,net_cashflow_yuan,discounted_net_cashflow_yuan
1.0,2342640.4236575584,70951.77405609415,0.0,0.0,2271688.649601464,2143102.4996240227
2.0,2342640.4236575584,72370.80953721603,0.0,0.0,2270269.6141203423,2020531.8744396067
3.0,2342640.4236575584,73818.22572796035,0.0,0.0,2268822.197929598,1904946.86715342
4.0,2342640.4236575584,75294.59024251957,0.0,0.0,2267345.833415039,1795950.2670171806
5.0,2342640.4236575584,76800.48204736995,0.0,0.0,2265839.941610188,1693167.4147745625
6.0,2342640.4236575584,78336.49168831734,0.0,0.0,2264303.9319692412,1596244.9236007205
7.0,2342640.4236575584,79903.2215220837,0.0,0.0,2262737.202135475,1504849.4725380994
8.0,2342640.4236575584,81501.28595252537,0.0,0.0,2261139.137705033,1418666.6683213275
9.0,2342640.4236575584,83131.31167157588,0.0,0.0,2259509.1119859824,1337399.9717165942
10.0,2342640.4236575584,84793.9379050074,0.0,0.0,2257846.485752551,1260769.6847203786
11.0,2342640.4236575584,86489.81666310756,0.0,0.0,2256150.606994451,1188511.9951694096
12.0,2342640.4236575584,88219.6129963697,0.0,0.0,2254420.810661189,1120378.075509037
13.0,2342640.4236575584,89984.0052562971,0.0,0.0,2252656.4184012613,1056133.2326514344
14.0,2342640.4236575584,91783.68536142305,0.0,0.0,2250856.7382961353,995556.1060288657
15.0,2342640.4236575584,93619.35906865151,0.0,0.0,2249021.0645889067,938437.9111112001
16.0,2342640.4236575584,95491.74625002453,0.0,0.0,2247148.677407534,884581.725811551
17.0,2342640.4236575584,97401.58117502503,0.0,0.0,2245238.8424825333,833801.81734983
18.0,2342640.4236575584,99349.61279852553,0.0,0.0,2243290.810859033,785923.0072816605
19.0,2342640.4236575584,101336.60505449605,0.0,0.0,2241303.8186030625,740780.0725299617
20.0,2342640.4236575584,103363.33715558596,0.0,509597.3371956502,2748874.4236976225,857112.0389251795
