hour,tariff_yuan_per_kwh,actual_net_load_kw,grid_exchange_kw,exec_charge_kw,exec_discharge_kw,soc_open,soc_close
0,0.278,6597.925714285715,8443.435673033107,1845.5099587473926,0.0,0.30103895190344926,0.4659664020357376
1,0.278,6635.815,8366.058308465172,1730.2433084651723,0.0,0.4659664020357376,0.6205928323191598
2,0.278,6543.965000000001,8043.675462680013,1499.7104626800117,0.0,0.6205928323191598,0.7546172635470513
3,0.278,6551.072142857141,7704.986999735587,1153.9148568784458,0.0,0.7546172635470513,0.8577390235314285
4,0.278,6494.665000000001,6855.659808953324,360.9948089533224,0.0,0.8577390235314285,0.89
5,0.278,6533.215000000001,6533.215000000001,0.0,0.0,0.89,0.89
6,1.016,6406.300714285715,5792.491284439914,0.0,613.809429845801,0.89,0.8322587073238055
7,1.016,6464.775714285714,5623.555027948521,0.0,841.2206863371933,0.8322587073238055,0.7531247489757438
8,0.614,6792.382857142858,6192.150229742338,0.0,600.2326274005195,0.7531247489757438,0.6966606314055048
9,0.614,6980.740000000001,6686.6957029944715,0.0,294.0442970055288,0.6966606314055048,0.6689997696011702
10,0.614,7006.922142857143,7084.156119466261,77.23397660911814,0.0,0.6689997696011702,0.6759019284138836
11,0.278,7018.111428571428,7561.0804084914325,542.9689799200046,0.0,0.6759019284138836,0.7244253671169274
12,0.278,7060.889999999999,7827.97498168351,767.0849816835105,0.0,0.7244253671169274,0.7929773516045664
13,0.278,6944.300714285715,7678.170284655418,733.8695703697031,0.0,0.7929773516045664,0.8585609787191573
14,0.614,6948.604285714287,7300.401556699364,351.7972709850776,0.0,0.8585609787191573,0.89
15,0.614,7113.875714285714,7113.875506411916,0.0,0.00020787379791090789,0.89,0.8899999804452307
16,1.016,7287.715000000001,6736.139525857699,0.0,551.5754741423026,0.8899999804452307,0.8381130602761118
17,1.016,7360.100714285713,6409.119255906766,0.0,950.9814583789478,0.8381130602761118,0.7486538632551607
18,1.016,7277.493571428572,6041.213356791724,0.0,1236.2802146368474,0.7486538632551607,0.6323565008619701
19,1.016,7097.943571428572,5690.550540079779,0.0,1407.3930313487924,0.6323565008619701,0.4999624890039863
20,1.016,7086.461428571428,5622.288096833017,0.0,1464.1733317384108,0.4999624890039863,0.36222713212322755
21,1.016,7082.057857142857,5675.643708247337,0.0,1406.4141488955202,0.36222713212322755,0.2299252041197459
22,0.614,7014.136428571429,5830.233918008707,0.0,1183.9025105627213,0.2299252041197459,0.11855503279530605
23,0.278,6921.097142857142,8963.060986687893,2041.9638438307509,1.4210854715202004e-14,0.11855503279530605,0.30103895190344926
