strategy_id,rated_power_kw,rated_energy_kwh,duration_h,is_valid,feasible,used_fast_reject,obj_npv,obj_payback,obj_investment,obj_safety,duration_violation_h,cycle_violation,transformer_violation_hours,transformer_slack_kw,negative_cashflow_violation,payback_violation_years,max_violation,total_violation,screening_messages,notes,npv_yuan,irr,simple_payback_years,discounted_payback_years,initial_investment_yuan,annualized_net_cashflow_yuan,lc_net_profit_yuan,annual_net_operating_cashflow_yuan,annual_equivalent_full_cycles,annual_battery_throughput_kwh,transformer_violation_hours_runtime,max_transformer_slack_kw_runtime
阳光电源_ST510CS-4H-CN,2438.553786738753,10906.496168333222,4.472526391521278,True,True,False,-15884898.882361034,4.491570665867528,10191946.743913004,310.1111195243247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15884898.882361034,0.21818024879445058,4.491570665867528,5.397337408267843,10191946.743913004,2281923.215910832,35446517.574303634,2342640.4236575584,310.1111195243247,6764451.473699146,0.0,0.0
阳光电源_ST510CS-4H-CN,2443.338541269108,10541.815180601927,4.314512705687663,True,True,False,-15726782.02938478,4.435602981904886,9888794.910157144,324.085596549211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15726782.02938478,0.2211220116100891,4.435602981904886,5.317920514235675,9888794.910157144,2241345.6410603696,34938117.911050245,2303257.9879632876,324.085596549211,6832900.923033808,0.0,0.0
阳光电源_ST510CS-4H-CN,2463.7299254016007,11091.079954159459,4.501743409376154,True,True,False,-15670948.174157407,4.573309696378054,10357420.169106565,311.410122868518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15670948.174157407,0.21398422035271278,4.573309696378054,5.513386719907659,10357420.169106565,2277839.198285917,35199363.79661177,2339389.6163159627,311.410122868518,6907749.142538708,0.0,0.0
阳光电源_ST510CS-4H-CN,2446.986384622131,11953.543424982707,4.885006103876871,True,True,False,-15451726.370933123,4.799596976752529,11072001.910405774,295.69479899470724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15451726.370933123,0.20307962754770686,4.799596976752529,5.834579046688473,11072001.910405774,2321826.567781768,35364529.44522959,2382008.9621232315,295.69479899470724,7069201.240649532,0.0,0.0
阳光电源_ST510CS-4H-CN,2476.6869547435626,10674.620010622699,4.310040067913207,True,True,False,-13735510.023983607,4.846975278041392,10014492.461159391,297.07347128211654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",13735510.023983607,0.20088265348205725,4.846975278041392,5.901961700732229,10014492.461159391,2078901.218667103,31563531.912182666,2138844.4753609123,297.07347128211654,6342292.842346458,0.0,0.0
阳光电源_ST510CS-4H-CN,2462.1061721673536,11239.955051309935,4.565178861241218,True,True,False,-15597529.935946478,4.619208270505574,10481320.669011382,317.60317735502275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15597529.935946478,0.21168757567222385,4.619208270505574,5.578554649294928,10481320.669011382,2282341.26746155,35165504.68021961,2344673.541412603,317.60317735502275,7139690.875247346,0.0,0.0
宁德时代_EnerOne+,2000.0,8000.0,4.0,False,False,True,1000000000000.0,99.0,1000000000000.0,1000000000000.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,['设备策略校验失败：时长 4.00h 高于策略上限 2.50h。'],['候选方案在快速筛选阶段被拒绝。'],,,,,,,,,,,,
阳光电源_ST510CS-4H-CN,2500.0,10567.70984358125,4.2270839374325,True,True,False,-12521882.394313896,5.0865034829748295,9935173.139077505,285.3279248144569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",12521882.394313896,0.19048352620650127,5.0865034829748295,6.256703144966986,9935173.139077505,1966123.0642939687,29387288.146801867,2025259.394830517,285.3279248144569,6030525.439420694,0.0,0.0
阳光电源_ST510CS-2H-CN,2265.8007207223072,5797.698455453806,2.5587856877393773,True,True,False,-9161184.148215106,4.379612364193511,5659298.663791977,362.61779248128767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9161184.148215106,0.22398212735130912,4.379612364193511,5.238914040906186,5659298.663791977,1295973.8478216634,20260178.29264129,1351805.9160657611,362.61779248128767,4204697.23077766,0.0,0.0
阳光电源_ST510CS-4H-CN,2491.121212627349,10669.000033802424,4.282810478960992,True,True,False,-12487015.505043592,5.1175168790240075,10016081.876998153,293.21530629530696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",12487015.505043592,0.18920112392480942,5.1175168790240075,6.303392956982521,10016081.876998153,1970195.9010685824,29387836.144373495,2030034.5422996255,293.21530629530696,6256628.2255520355,0.0,0.0
